inputs,outputs
look for parking we are Webster_Garage_distance away from webster garage let's avoid all Webster_Garage_traffic_info and send me its address on screen please,"sure, we're going to Webster_Garage_address, drive carefully!"
"show me the nearest shopping mall we are Stanford_Shopping_Center_distance away from stanford shopping center: does it sound good to you? give me the address. the address is Stanford_Shopping_Center_address, i sent it on your screen set gps for a route without any traffic. there is Stanford_Shopping_Center_traffic_info but you should be able to reach it fast anyway is there an alternate mall with no traffic on the route?",no that's the closest and fastest available.
set a reminder for the conference,when is your conference?
i'm looking for a place where i can have some coffee.,i have a few coffee places listed. which one would you like to know about?
"pull up directions to 5672 barringer street i don't see 5672 barringer street nearby; can you confirm that that is the destination you want? yes, it should be near me in the direction we're going now",i still do not see 5672 barringer street nearby. home is nearby at home_distance away; do you wish to go there?
find me a nearby shopping mall shopping center,the local shopping center is stanford shopping center located at Stanford_Shopping_Center_address.
"will it be raining in the next 7 days what city are you asking about? alhambra there isn't any rain predicted in alhambra great, thanks",my pleasure.
is it gonna snow during the next week in atherton? snow is predicted to fall on atherton_wednesday in atherton. thanks.,anytime!
"car i need a parking garage in the area, pick a quick route too",the stanford oval parking is near.
what time is my appointment today,which appointment are you referring to?
what is the forecast for this week,what city are you seeking information for?
"please let me know the weather forecast for tomorrow where would you like to hear the forecast from? fresno, please it will rain tomorrow and be between 90-100f in fresno. thanks.",no problem!
"what's the weather like in downtown chicago today in downtown chicago is drizzle okay, will you find out if there will be a blizzard there anytime in the next 7 days?",downtown chicago does not have any weather predictions for a blizzard over the next 7 days
"is it going to be raining this weekend what city should i check for rain this weekend in? los angeles, thank you! in los angeles it will be cloudy on saturday and it might snow on los_angeles_sunday, no rain thank you car!",you're welcome!
check weather forecast for seattle,"in seattle, it will be 30-40f monday, 60-70f tuesday, 40-60f wednesday, 70-80f thursday, 80-100f friday, 60-70f saturday, and 80-90f seattle_sunday."
"where is there a shopping center within 5 miles? we're Town_and_Country_distance away from town and country but there is a car collision nearby, we might lose lot of time mmm, no, i wanted some route with no traffic... is it the only option? currently town and country is the only option. well okay i guess it will have to do then where is it located? town and country is at Town_and_Country_address. but be aware there is a car collision being reported nearby.  ok that's fine just set the navigation.  navigation set for town and country. thanks so much.",you are welcome
"where does my friend live? you have two friends listed; jill and tom, which one? the one closest to my location. jill's house is 5 miles away but there is a road block nearby. tom's house is 8 miles away but we should pass through the same road block well jill is closer so let's go there.  sure, i sent the route on your map thank you car!",anytime!
what is the forecast for today's weather for what city would you like to hear today's forecast? what is the high in san mateo? 70f is the high temperature for san mateo today thanks for the information.,you're very welcome!
schedule a dentist appointment at 3 pm on the 11th of this month with father.  i will set your dentist appointment for 3pm on the 11th of this month with father.  thanks.,my pleasure!
